386.84,-106
387.11,-95
387.37,-76
387.64,-108
387.9,-80
388.17,-96
388.43,-101
388.7,-132
388.96,-130
389.23,-124
389.49,-114
389.76,-99
390.02,-94
390.29,-115
390.55,-115
390.81,-111
391.08,-113
391.34,-112
391.61,-99
391.87,-130
392.14,-134
392.4,-122
392.67,-111
392.93,-102
393.2,-122
393.46,-123
393.73,-98
393.99,-82
394.25,-95
394.52,-125
394.78,-91
395.05,-109
395.31,-109
395.58,-102
395.84,-98
396.11,-98
396.37,-110
396.64,-132
396.9,-127
397.16,-91
397.43,-109
397.69,-134
397.96,-100
398.22,-102
398.49,-100
398.75,-105
399.02,-156
399.28,-96
399.54,-109
399.81,-117
400.07,-121
400.34,-126
400.6,-117
400.87,-80
401.13,-96
401.4,-88
401.66,-74
401.92,-103
402.19,-92
402.45,-107
402.72,-102
402.98,-112
403.25,-119
403.51,-113
403.77,-85
404.04,-105
404.3,-106
404.57,-95
404.83,-143
405.1,-91
405.36,-96
405.62,-97
405.89,-70
406.15,-96
406.42,-84
406.68,-114
406.94,-99
407.21,-120
407.47,-114
407.74,-92
408,-144
408.27,-104
408.53,-92
408.79,-118
409.06,-136
409.32,-69
409.59,-84
409.85,-101
410.11,-84
410.38,-102
410.64,-94
410.91,-103
411.17,-117
411.44,-119
411.7,-138
411.96,-87
412.23,-131
412.49,-85
412.76,-95
413.02,-104
413.28,-114
413.55,-92
413.81,-117
414.08,-120
414.34,-93
414.6,-92
414.87,-109
415.13,-124
415.4,-98
415.66,-119
415.92,-122
416.19,-93
416.45,-131
416.71,-110
416.98,-115
417.24,-134
417.51,-117
417.77,-84
418.03,-103
418.3,-116
418.56,-100
418.83,-108
419.09,-121
419.35,-80
419.62,-111
419.88,-118
420.14,-117
420.41,-107
420.67,-145
420.94,-129
421.2,-100
421.46,-89
421.73,-59
421.99,-85
422.25,-87
422.52,-89
422.78,-91
423.05,-105
423.31,-98
423.57,-72
423.84,-110
424.1,-111
424.36,-122
424.63,-124
424.89,-94
425.16,-103
425.42,-130
425.68,-133
425.95,-111
426.21,-103
426.47,-117
426.74,-96
427,-146
427.26,-120
427.53,-90
427.79,-135
428.06,-119
428.32,-115
428.58,-113
428.85,-134
429.11,-114
429.37,-92
429.64,-100
429.9,-108
430.16,-106
430.43,-103
430.69,-108
430.95,-83
431.22,-84
431.48,-118
431.74,-121
432.01,-96
432.27,-103
432.53,-126
432.8,-117
433.06,-89
433.32,-127
433.59,-86
433.85,-64
434.11,-102
434.38,-135
434.64,-102
434.9,-121
435.17,-92
435.43,-111
435.69,-91
435.96,-118
436.22,-130
436.48,-89
436.75,-95
437.01,-85
437.27,-107
437.54,-92
437.8,-73
438.06,-93
438.33,-117
438.59,-127
438.85,-90
439.12,-99
439.38,-126
439.64,-87
439.91,-63
440.17,-85
440.43,-76
440.7,-105
440.96,-70
441.22,-99
441.49,-88
441.75,-86
442.01,-79
442.28,-113
442.54,-91
442.8,-79
443.07,-84
443.33,-60
443.59,-77
443.85,-98
444.12,-77
444.38,-105
444.64,-69
444.91,-50
